 ,X,Y
1,430.597,250.243
2,205.064,246.191
3,268.300,250.900
4,215.972,260.917
5,209.500,263.500
6,346.278,267.389
7,368.100,271.300
8,211.500,271.500
9,358.263,276.161
10,302.344,300.219
11,335.413,300.152
12,316.855,332.190
13,323.763,344.137
