 ,X,Y
1,331.455,256.000
2,332.500,278.900
3,320.553,281.500
4,307.000,282.500
5,328.565,302.030
6,337.500,296.833
7,302.500,298.500
8,333.500,299.167
9,304.500,299.500
10,306.500,300.500
